"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","1995",57.81464,
"AUS","GGDEBT","TOT","PC_GDP","A","1996",54.86277,
"AUS","GGDEBT","TOT","PC_GDP","A","1997",53.39208,
"AUS","GGDEBT","TOT","PC_GDP","A","1998",49.75021,
"AUS","GGDEBT","TOT","PC_GDP","A","1999",42.02913,
"AUS","GGDEBT","TOT","PC_GDP","A","2000",38.42197,
"AUS","GGDEBT","TOT","PC_GDP","A","2001",37.85905,
"AUS","GGDEBT","TOT","PC_GDP","A","2002",36.36391,
"AUS","GGDEBT","TOT","PC_GDP","A","2003",33.51073,
"AUS","GGDEBT","TOT","PC_GDP","A","2004",30.3709,
"AUS","GGDEBT","TOT","PC_GDP","A","2005",28.58821,
"AUS","GGDEBT","TOT","PC_GDP","A","2006",28.05523,
"AUS","GGDEBT","TOT","PC_GDP","A","2007",26.88064,
"AUS","GGDEBT","TOT","PC_GDP","A","2008",29.68334,
"AUS","GGDEBT","TOT","PC_GDP","A","2009",38.28928,
"AUS","GGDEBT","TOT","PC_GDP","A","2010",41.31482,
"AUS","GGDEBT","TOT","PC_GDP","A","2011",45.81192,
"AUS","GGDEBT","TOT","PC_GDP","A","2012",58.61568,
"AUS","GGDEBT","TOT","PC_GDP","A","2013",55.14506,
"AUS","GGDEBT","TOT","PC_GDP","A","2014",61.11962,
"AUS","GGDEBT","TOT","PC_GDP","A","2015",64.39371,
"AUS","GGDEBT","TOT","PC_GDP","A","2016",68.94744,
"AUS","GGDEBT","TOT","PC_GDP","A","2017",66.25739,
"AUS","GGDEBT","TOT","PC_GDP","A","2018",66.92135,
"AUS","GGDEBT","TOT","PC_GDP","A","2019",76.88914,
"AUS","GGDEBT","TOT","PC_GDP","A","2020",92.66365,
"AUT","GGDEBT","TOT","PC_GDP","A","1995",69.17403,
"AUT","GGDEBT","TOT","PC_GDP","A","1996",69.71158,
"AUT","GGDEBT","TOT","PC_GDP","A","1997",65.372,
"AUT","GGDEBT","TOT","PC_GDP","A","1998",67.11701,
"AUT","GGDEBT","TOT","PC_GDP","A","1999",70.72529,
"AUT","GGDEBT","TOT","PC_GDP","A","2000",71.04991,
"AUT","GGDEBT","TOT","PC_GDP","A","2001",72.1219,
"AUT","GGDEBT","TOT","PC_GDP","A","2002",74.02462,
"AUT","GGDEBT","TOT","PC_GDP","A","2003",72.53215,
"AUT","GGDEBT","TOT","PC_GDP","A","2004",71.7653,
"AUT","GGDEBT","TOT","PC_GDP","A","2005",76.25182,
"AUT","GGDEBT","TOT","PC_GDP","A","2006",72.68636,
"AUT","GGDEBT","TOT","PC_GDP","A","2007",68.96463,
"AUT","GGDEBT","TOT","PC_GDP","A","2008",74.19278,
"AUT","GGDEBT","TOT","PC_GDP","A","2009",86.33044,
"AUT","GGDEBT","TOT","PC_GDP","A","2010",90.54397,
"AUT","GGDEBT","TOT","PC_GDP","A","2011",91.4737,
"AUT","GGDEBT","TOT","PC_GDP","A","2012",97.33756,
"AUT","GGDEBT","TOT","PC_GDP","A","2013",94.3597,
"AUT","GGDEBT","TOT","PC_GDP","A","2014",101.8692,
"AUT","GGDEBT","TOT","PC_GDP","A","2015",101.2852,
"AUT","GGDEBT","TOT","PC_GDP","A","2016",102.5335,
"AUT","GGDEBT","TOT","PC_GDP","A","2017",96.27682,
"AUT","GGDEBT","TOT","PC_GDP","A","2018",90.80019,
"AUT","GGDEBT","TOT","PC_GDP","A","2019",89.13332,
"AUT","GGDEBT","TOT","PC_GDP","A","2020",107.3411,
"BEL","GGDEBT","TOT","PC_GDP","A","1995",141.232,
"BEL","GGDEBT","TOT","PC_GDP","A","1996",143.2926,
"BEL","GGDEBT","TOT","PC_GDP","A","1997",137.9549,
"BEL","GGDEBT","TOT","PC_GDP","A","1998",139.397,
"BEL","GGDEBT","TOT","PC_GDP","A","1999",127.9947,
"BEL","GGDEBT","TOT","PC_GDP","A","2000",121.6588,
"BEL","GGDEBT","TOT","PC_GDP","A","2001",120.0464,
"BEL","GGDEBT","TOT","PC_GDP","A","2002",119.5324,
"BEL","GGDEBT","TOT","PC_GDP","A","2003",115.7454,
"BEL","GGDEBT","TOT","PC_GDP","A","2004",111.3621,
"BEL","GGDEBT","TOT","PC_GDP","A","2005",108.9884,
"BEL","GGDEBT","TOT","PC_GDP","A","2006",101.0699,
"BEL","GGDEBT","TOT","PC_GDP","A","2007",94.63382,
"BEL","GGDEBT","TOT","PC_GDP","A","2008",102.3672,
"BEL","GGDEBT","TOT","PC_GDP","A","2009",110.7298,
"BEL","GGDEBT","TOT","PC_GDP","A","2010",108.6802,
"BEL","GGDEBT","TOT","PC_GDP","A","2011",111.6199,
"BEL","GGDEBT","TOT","PC_GDP","A","2012",120.9842,
"BEL","GGDEBT","TOT","PC_GDP","A","2013",118.6525,
"BEL","GGDEBT","TOT","PC_GDP","A","2014",130.6015,
"BEL","GGDEBT","TOT","PC_GDP","A","2015",126.2408,
"BEL","GGDEBT","TOT","PC_GDP","A","2016",127.6686,
"BEL","GGDEBT","TOT","PC_GDP","A","2017",120.8399,
"BEL","GGDEBT","TOT","PC_GDP","A","2018",117.8062,
"BEL","GGDEBT","TOT","PC_GDP","A","2019",119.7289,
"BEL","GGDEBT","TOT","PC_GDP","A","2020",140.6437,
"CAN","GGDEBT","TOT","PC_GDP","A","1995",123.963,
"CAN","GGDEBT","TOT","PC_GDP","A","1996",130.0463,
"CAN","GGDEBT","TOT","PC_GDP","A","1997",123.9435,
"CAN","GGDEBT","TOT","PC_GDP","A","1998",123.4714,
"CAN","GGDEBT","TOT","PC_GDP","A","1999",113.8759,
"CAN","GGDEBT","TOT","PC_GDP","A","2000",105.0706,
"CAN","GGDEBT","TOT","PC_GDP","A","2001",104.7761,
"CAN","GGDEBT","TOT","PC_GDP","A","2002",103.5752,
"CAN","GGDEBT","TOT","PC_GDP","A","2003",99.24104,
"CAN","GGDEBT","TOT","PC_GDP","A","2004",95.32219,
"CAN","GGDEBT","TOT","PC_GDP","A","2005",93.87299,
"CAN","GGDEBT","TOT","PC_GDP","A","2006",91.14863,
"CAN","GGDEBT","TOT","PC_GDP","A","2007",86.95379,
"CAN","GGDEBT","TOT","PC_GDP","A","2008",89.72452,
"CAN","GGDEBT","TOT","PC_GDP","A","2009",102.7107,
"CAN","GGDEBT","TOT","PC_GDP","A","2010",105.0162,
"CAN","GGDEBT","TOT","PC_GDP","A","2011",107.6598,
"CAN","GGDEBT","TOT","PC_GDP","A","2012",111.3064,
"CAN","GGDEBT","TOT","PC_GDP","A","2013",107.3399,
"CAN","GGDEBT","TOT","PC_GDP","A","2014",108.3714,
"CAN","GGDEBT","TOT","PC_GDP","A","2015",114.6647,
"CAN","GGDEBT","TOT","PC_GDP","A","2016",114.1737,
"CAN","GGDEBT","TOT","PC_GDP","A","2017",108.5678,
"CAN","GGDEBT","TOT","PC_GDP","A","2018",107.4986,
"CAN","GGDEBT","TOT","PC_GDP","A","2019",106.8954,
"CAN","GGDEBT","TOT","PC_GDP","A","2020",141.8694,
"CZE","GGDEBT","TOT","PC_GDP","A","1995",18.05193,
"CZE","GGDEBT","TOT","PC_GDP","A","1996",16.65339,
"CZE","GGDEBT","TOT","PC_GDP","A","1997",17.02323,
