"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YNGPOP","TOT","PC_POP","A","1950",26.6044725934439,
"AUS","YNGPOP","TOT","PC_POP","A","1951",27.1453507011649,
"AUS","YNGPOP","TOT","PC_POP","A","1952",27.6014589243328,
"AUS","YNGPOP","TOT","PC_POP","A","1953",28.1226957675859,
"AUS","YNGPOP","TOT","PC_POP","A","1954",28.5906637734379,
"AUS","YNGPOP","TOT","PC_POP","A","1955",29.0389904018609,
"AUS","YNGPOP","TOT","PC_POP","A","1956",29.3873004084664,
"AUS","YNGPOP","TOT","PC_POP","A","1957",29.6404638907906,
"AUS","YNGPOP","TOT","PC_POP","A","1958",29.9865886369178,
"AUS","YNGPOP","TOT","PC_POP","A","1959",30.1221112923114,
"AUS","YNGPOP","TOT","PC_POP","A","1960",30.2053527980535,
"AUS","YNGPOP","TOT","PC_POP","A","1961",30.3096629299024,
"AUS","YNGPOP","TOT","PC_POP","A","1962",30.0490631278912,
"AUS","YNGPOP","TOT","PC_POP","A","1963",29.9168416323612,
"AUS","YNGPOP","TOT","PC_POP","A","1964",29.8176521363833,
"AUS","YNGPOP","TOT","PC_POP","A","1965",29.6272782583393,
"AUS","YNGPOP","TOT","PC_POP","A","1966",29.4815344595085,
"AUS","YNGPOP","TOT","PC_POP","A","1967",29.2840254128331,
"AUS","YNGPOP","TOT","PC_POP","A","1968",29.0325919640326,
"AUS","YNGPOP","TOT","PC_POP","A","1969",28.9207857057001,
"AUS","YNGPOP","TOT","PC_POP","A","1970",28.8280594073133,
"AUS","YNGPOP","TOT","PC_POP","A","1971",28.6768271707966,
"AUS","YNGPOP","TOT","PC_POP","A","1972",28.5089130332817,
"AUS","YNGPOP","TOT","PC_POP","A","1973",28.2331761367919,
"AUS","YNGPOP","TOT","PC_POP","A","1974",27.8683928835201,
"AUS","YNGPOP","TOT","PC_POP","A","1975",27.4931647207819,
"AUS","YNGPOP","TOT","PC_POP","A","1976",26.9869065835355,
"AUS","YNGPOP","TOT","PC_POP","A","1977",26.519045556887,
"AUS","YNGPOP","TOT","PC_POP","A","1978",26.0672785600646,
"AUS","YNGPOP","TOT","PC_POP","A","1979",25.6165914918913,
"AUS","YNGPOP","TOT","PC_POP","A","1980",25.252834977254,
"AUS","YNGPOP","TOT","PC_POP","A","1981",24.9646524955003,
"AUS","YNGPOP","TOT","PC_POP","A","1982",24.6636267178741,
"AUS","YNGPOP","TOT","PC_POP","A","1983",24.3676020588468,
"AUS","YNGPOP","TOT","PC_POP","A","1984",23.9791465532895,
"AUS","YNGPOP","TOT","PC_POP","A","1985",23.5968290973728,
"AUS","YNGPOP","TOT","PC_POP","A","1986",23.0954998486111,
"AUS","YNGPOP","TOT","PC_POP","A","1987",22.6719906954518,
"AUS","YNGPOP","TOT","PC_POP","A","1988",22.3747538434775,
"AUS","YNGPOP","TOT","PC_POP","A","1989",22.1531214643435,
"AUS","YNGPOP","TOT","PC_POP","A","1990",22.0039017580179,
"AUS","YNGPOP","TOT","PC_POP","A","1991",21.9018868046792,
"AUS","YNGPOP","TOT","PC_POP","A","1992",21.8156566573992,
"AUS","YNGPOP","TOT","PC_POP","A","1993",21.7255271506217,
"AUS","YNGPOP","TOT","PC_POP","A","1994",21.6269013541234,
"AUS","YNGPOP","TOT","PC_POP","A","1995",21.5251230194122,
"AUS","YNGPOP","TOT","PC_POP","A","1996",21.3697437119498,
"AUS","YNGPOP","TOT","PC_POP","A","1997",21.2146944067908,
"AUS","YNGPOP","TOT","PC_POP","A","1998",21.047982371059,
"AUS","YNGPOP","TOT","PC_POP","A","1999",20.8909039337317,
"AUS","YNGPOP","TOT","PC_POP","A","2000",20.7230176655367,
"AUS","YNGPOP","TOT","PC_POP","A","2001",20.5462746218476,
"AUS","YNGPOP","TOT","PC_POP","A","2002",20.3363082521296,
"AUS","YNGPOP","TOT","PC_POP","A","2003",20.1294150416387,
"AUS","YNGPOP","TOT","PC_POP","A","2004",19.938190077602,
"AUS","YNGPOP","TOT","PC_POP","A","2005",19.7423888493166,
"AUS","YNGPOP","TOT","PC_POP","A","2006",19.5706501101219,
"AUS","YNGPOP","TOT","PC_POP","A","2007",19.4302594890574,
"AUS","YNGPOP","TOT","PC_POP","A","2008",19.2990615787447,
"AUS","YNGPOP","TOT","PC_POP","A","2009",19.1688480356937,
"AUS","YNGPOP","TOT","PC_POP","A","2010",19.0574874896456,
"AUS","YNGPOP","TOT","PC_POP","A","2011",18.9507987994999,
"AUS","YNGPOP","TOT","PC_POP","A","2012",18.9324152741344,
"AUS","YNGPOP","TOT","PC_POP","A","2013",18.9290106432734,
"AUS","YNGPOP","TOT","PC_POP","A","2014",18.9120011232047,
"AUS","YNGPOP","TOT","PC_POP","A","2015",18.8928365159633,
"AUS","YNGPOP","TOT","PC_POP","A","2016",18.9021312842879,
"AUS","YNGPOP","TOT","PC_POP","A","2017",18.8567368483521,
"AUS","YNGPOP","TOT","PC_POP","A","2018",18.7840075495479,
"AUS","YNGPOP","TOT","PC_POP","A","2019",18.696974995215,
"AUS","YNGPOP","TOT","PC_POP","A","2020",18.6033570662228,
"AUT","YNGPOP","TOT","PC_POP","A","1950",22.763593891941,
"AUT","YNGPOP","TOT","PC_POP","A","1951",22.9154095386154,
"AUT","YNGPOP","TOT","PC_POP","A","1952",23.0333071007533,
"AUT","YNGPOP","TOT","PC_POP","A","1953",23.1256968102194,
"AUT","YNGPOP","TOT","PC_POP","A","1954",22.8792389393461,
"AUT","YNGPOP","TOT","PC_POP","A","1955",22.3429781837471,
"AUT","YNGPOP","TOT","PC_POP","A","1956",21.925406901456,
"AUT","YNGPOP","TOT","PC_POP","A","1957",21.7730761169475,
"AUT","YNGPOP","TOT","PC_POP","A","1958",21.763519201392,
"AUT","YNGPOP","TOT","PC_POP","A","1959",21.7903033090397,
"AUT","YNGPOP","TOT","PC_POP","A","1960",22.0432976674553,
"AUT","YNGPOP","TOT","PC_POP","A","1961",22.4300018952065,
"AUT","YNGPOP","TOT","PC_POP","A","1962",22.6634336924239,
"AUT","YNGPOP","TOT","PC_POP","A","1963",22.8378645981618,
"AUT","YNGPOP","TOT","PC_POP","A","1964",23.0821973085914,
"AUT","YNGPOP","TOT","PC_POP","A","1965",23.3550807886078,
"AUT","YNGPOP","TOT","PC_POP","A","1966",23.6192899654278,
"AUT","YNGPOP","TOT","PC_POP","A","1967",23.8644771219946,
"AUT","YNGPOP","TOT","PC_POP","A","1968",24.0949817562174,
"AUT","YNGPOP","TOT","PC_POP","A","1969",24.2864083117246,
"AUT","YNGPOP","TOT","PC_POP","A","1970",24.3637076096351,
"AUT","YNGPOP","TOT","PC_POP","A","1971",24.3171705498393,
"AUT","YNGPOP","TOT","PC_POP","A","1972",24.1604909519245,
"AUT","YNGPOP","TOT","PC_POP","A","1973",23.8984117693971,
"AUT","YNGPOP","TOT","PC_POP","A","1974",23.5904728993328,
"AUT","YNGPOP","TOT","PC_POP","A","1975",23.2317790582621,
"AUT","YNGPOP","TOT","PC_POP","A","1976",22.749075576381,
"AUT","YNGPOP","TOT","PC_POP","A","1977",22.1729077232663,
"AUT","YNGPOP","TOT","PC_POP","A","1978",21.5645891034546,
"AUT","YNGPOP","TOT","PC_POP","A","1979",20.9559535991152,
"AUT","YNGPOP","TOT","PC_POP","A","1980",20.4173611448701,
"AUT","YNGPOP","TOT","PC_POP","A","1981",19.9719106690572,
"AUT","YNGPOP","TOT","PC_POP","A","1982",19.5445159450446,
"AUT","YNGPOP","TOT","PC_POP","A","1983",19.088709069534,
"AUT","YNGPOP","TOT","PC_POP","A","1984",18.6512240932077,
"AUT","YNGPOP","TOT","PC_POP","A","1985",18.2921999570653,
"AUT","YNGPOP","TOT","PC_POP","A","1986",18.0033168670112,
"AUT","YNGPOP","TOT","PC_POP","A","1987",17.7752817117662,
"AUT","YNGPOP","TOT","PC_POP","A","1988",17.6387750175767,
"AUT","YNGPOP","TOT","PC_POP","A","1989",17.5642943443235,
"AUT","YNGPOP","TOT","PC_POP","A","1990",17.5243720572817,
"AUT","YNGPOP","TOT","PC_POP","A","1991",17.5728840031407,
"AUT","YNGPOP","TOT","PC_POP","A","1992",17.6911424719372,
"AUT","YNGPOP","TOT","PC_POP","A","1993",17.7863831759434,
"AUT","YNGPOP","TOT","PC_POP","A","1994",17.8292837883711,
"AUT","YNGPOP","TOT","PC_POP","A","1995",17.8131288311758,
"AUT","YNGPOP","TOT","PC_POP","A","1996",17.7260606084973,
"AUT","YNGPOP","TOT","PC_POP","A","1997",17.5760014287075,
"AUT","YNGPOP","TOT","PC_POP","A","1998",17.4061517736021,
"AUT","YNGPOP","TOT","PC_POP","A","1999",17.2337254137502,
"AUT","YNGPOP","TOT","PC_POP","A","2000",17.0436840937215,
"AUT","YNGPOP","TOT","PC_POP","A","2001",16.8170694601652,
"AUT","YNGPOP","TOT","PC_POP","A","2002",16.6165292501807,
"AUT","YNGPOP","TOT","PC_POP","A","2003",16.4328127569444,
"AUT","YNGPOP","TOT","PC_POP","A","2004",16.2342441790081,
"AUT","YNGPOP","TOT","PC_POP","A","2005",16.0212578833202,
"AUT","YNGPOP","TOT","PC_POP","A","2006",15.7736357316229,
"AUT","YNGPOP","TOT","PC_POP","A","2007",15.5075309314833,
"AUT","YNGPOP","TOT","PC_POP","A","2008",15.2521029458366,
"AUT","YNGPOP","TOT","PC_POP","A","2009",15.0168501212554,
"AUT","YNGPOP","TOT","PC_POP","A","2010",14.8220401003747,
"AUT","YNGPOP","TOT","PC_POP","A","2011",14.6528106102926,
"AUT","YNGPOP","TOT","PC_POP","A","2012",14.485745897582,
"AUT","YNGPOP","TOT","PC_POP","A","2013",14.3704134487327,
"AUT","YNGPOP","TOT","PC_POP","A","2014",14.3004532339443,
"AUT","YNGPOP","TOT","PC_POP","A","2015",14.2843650961311,
"AUT","YNGPOP","TOT","PC_POP","A","2016",14.3616116879482,
"AUT","YNGPOP","TOT","PC_POP","A","2017",14.4177654921113,
"AUT","YNGPOP","TOT","PC_POP","A","2018",14.4312206774902,
"AUT","YNGPOP","TOT","PC_POP","A","2019",14.4219458398671,
"AUT","YNGPOP","TOT","PC_POP","A","2020",14.3933308249723,
"BEL","YNGPOP","TOT","PC_POP","A","1950",20.9061101568876,
"BEL","YNGPOP","TOT","PC_POP","A","1951",21.0592960488275,
"BEL","YNGPOP","TOT","PC_POP","A","1952",21.2167934935435,
"BEL","YNGPOP","TOT","PC_POP","A","1953",21.362965720739,
"BEL","YNGPOP","TOT","PC_POP","A","1954",21.5279678580362,
"BEL","YNGPOP","TOT","PC_POP","A","1955",21.794854591856,
"BEL","YNGPOP","TOT","PC_POP","A","1956",22.196821981667,
"BEL","YNGPOP","TOT","PC_POP","A","1957",22.6553417769397,
"BEL","YNGPOP","TOT","PC_POP","A","1958",23.028615930142,
"BEL","YNGPOP","TOT","PC_POP","A","1959",23.2844909856551,
"BEL","YNGPOP","TOT","PC_POP","A","1960",23.5328273696699,
"BEL","YNGPOP","TOT","PC_POP","A","1961",23.7548383331439,
"BEL","YNGPOP","TOT","PC_POP","A","1962",23.8197648780803,
"BEL","YNGPOP","TOT","PC_POP","A","1963",23.8061222183111,
"BEL","YNGPOP","TOT","PC_POP","A","1964",23.8267417094738,
"BEL","YNGPOP","TOT","PC_POP","A","1965",23.8704908075812,
"BEL","YNGPOP","TOT","PC_POP","A","1966",23.9011953221559,
"BEL","YNGPOP","TOT","PC_POP","A","1967",23.8758287112471,
"BEL","YNGPOP","TOT","PC_POP","A","1968",23.8013106892409,
"BEL","YNGPOP","TOT","PC_POP","A","1969",23.6949427811412,
"BEL","YNGPOP","TOT","PC_POP","A","1970",23.5906913640342,
"BEL","YNGPOP","TOT","PC_POP","A","1971",23.4625761462488,
"BEL","YNGPOP","TOT","PC_POP","A","1972",23.2419037360797,
"BEL","YNGPOP","TOT","PC_POP","A","1973",22.9679745498768,
"BEL","YNGPOP","TOT","PC_POP","A","1974",22.6233624833972,
"BEL","YNGPOP","TOT","PC_POP","A","1975",22.2143724427847,
"BEL","YNGPOP","TOT","PC_POP","A","1976",21.7963159951062,
"BEL","YNGPOP","TOT","PC_POP","A","1977",21.3716733408895,
"BEL","YNGPOP","TOT","PC_POP","A","1978",20.9405953574631,
"BEL","YNGPOP","TOT","PC_POP","A","1979",20.5009716316853,
"BEL","YNGPOP","TOT","PC_POP","A","1980",20.1062089655362,
"BEL","YNGPOP","TOT","PC_POP","A","1981",19.8438236320951,
"BEL","YNGPOP","TOT","PC_POP","A","1982",19.602948488901,
"BEL","YNGPOP","TOT","PC_POP","A","1983",19.3523711227443,
"BEL","YNGPOP","TOT","PC_POP","A","1984",19.0766112126463,
"BEL","YNGPOP","TOT","PC_POP","A","1985",18.7522931163955,
"BEL","YNGPOP","TOT","PC_POP","A","1986",18.4825849660266,
"BEL","YNGPOP","TOT","PC_POP","A","1987",18.3047635952704,
"BEL","YNGPOP","TOT","PC_POP","A","1988",18.1942935859777,
"BEL","YNGPOP","TOT","PC_POP","A","1989",18.1216432740906,
"BEL","YNGPOP","TOT","PC_POP","A","1990",18.1212651913071,
"BEL","YNGPOP","TOT","PC_POP","A","1991",18.1545358752064,
"BEL","YNGPOP","TOT","PC_POP","A","1992",18.1712794165153,
"BEL","YNGPOP","TOT","PC_POP","A","1993",18.1477496259351,
"BEL","YNGPOP","TOT","PC_POP","A","1994",18.079182838469,
"BEL","YNGPOP","TOT","PC_POP","A","1995",17.9733000921197,
